name,year,per_capita_gdp_yuan,total_population_million,urbanization_rate_percent,proportion_of_primary_industry_percent,proportion_of_secondary_industry_percent,proportion_of_the_tertiary_industry_percent,coal_proportion_percent,total_carbon_dioxide_emissions_(_million_tons_)
Shanxi,2017,41242.0,35.1,58.59,4.97,45.81,49.22,80.38,899.24
Shanxi,2018,45517.0,35.02,59.85,4.64,44.33,51.03,80.97,1022.78
Shanxi,2019,48469.0,34.97,61.11,4.87,44.02,51.12,80.93,1073.34
Shannxi,1999,4415.0,36.18,30.87,15.8,41.9,42.3,56.88,84.35
Shannxi,2000,4968.0,36.44,32.27,15.5,43.1,41.4,53.41,81.42
Shannxi,2001,5511.0,36.53,33.67,15.2,44.3,40.5,53.99,91.56
Shannxi,2002,6161.0,36.62,34.74,14.9,45.5,39.6,52.52,104.11
Shannxi,2003,7057.0,36.72,35.7,13.3,47.3,39.4,52.68,118.24
Shannxi,2004,8545.0,36.81,36.59,13.7,49.1,37.2,54.06,147.19
Shannxi,2005,10357.0,36.9,37.2,11.1,49.6,39.3,56.75,172.52
Shannxi,2006,12439.0,36.99,39.12,11.1,52.9,36.0,58.04,208.35
Shannxi,2007,15342.0,37.08,40.62,-477.6,543.0,34.6,56.34,227.84
Shannxi,2008,19331.0,37.18,42.1,11.0,56.1,32.9,57.14,255.62
Shannxi,2009,21485.0,37.27,43.5,9.7,51.8,38.5,55.95,279.01
Shannxi,2010,26388.0,37.35,45.7,9.8,51.5,38.7,58.04,330.46
Shannxi,2011,32467.0,37.65,46.22,9.8,55.4,34.8,59.72,366.01
Shannxi,2012,37453.0,37.87,49.7,9.5,53.8,36.7,61.92,421.48
Shannxi,2013,41906.0,38.04,51.31,9.0,55.0,36.0,63.69,446.98
Shannxi,2014,45610.0,38.27,52.57,8.8,54.1,37.1,64.31,470.96
Shannxi,2015,46654.0,38.46,54.7,8.9,48.4,42.7,65.06,464.8
Shannxi,2016,49341.0,38.74,55.34,8.7,48.9,42.4,67.3,475.42
Shannxi,2017,55216.0,39.04,56.8,8.1,47.1,44.8,66.68,483.98
Shannxi,2018,61115.0,39.31,58.1,7.5,49.7,42.8,65.1,472.39
Shannxi,2019,65506.0,39.44,61.3,7.7,45.7,46.6,65.66,511.45
Shanghai,1999,27293.0,14.74,88.08,1.72,47.13,51.15,42.64,159.42
Shanghai,2000,30307.0,16.09,81.22,1.55,46.05,52.4,41.71,172.62
Shanghai,2001,32089.0,16.68,78.69,1.45,45.91,52.64,41.33,177.79
Shanghai,2002,34277.0,17.13,77.42,1.34,45.48,53.19,40.61,181.98
Shanghai,2003,39117.0,17.66,75.52,1.16,47.61,51.23,38.65,203.71
Shanghai,2004,44998.0,18.35,73.25,1.0,47.8,51.2,37.4,213.91
Shanghai,2005,49377.0,18.9,89.09,0.96,46.92,52.13,36.02,227.51
Shanghai,2006,54996.0,19.64,88.7,0.86,46.51,52.63,34.57,225.26
Shanghai,2007,63951.0,20.64,88.7,0.77,44.08,55.14,34.09,230.93
Shanghai,2008,69154.0,21.41,88.6,0.75,42.76,56.49,33.72,241.81
Shanghai,2009,72363.0,22.1,88.6,0.71,39.29,60.0,32.84,239.97
Shanghai,2010,79396.0,23.03,89.29,0.64,41.5,57.86,33.21,260.78
Shanghai,2011,85897.0,23.56,89.3,0.63,40.83,58.54,33.88,266.32
Shanghai,2012,89613.0,23.99,89.3,0.61,38.37,61.03,31.91,260.5
Shanghai,2013,95746.0,24.48,89.6,0.57,35.71,63.72,30.51,271.23
Shanghai,2014,102827.0,24.67,89.6,0.52,34.16,65.31,28.57,245.51
Shanghai,2015,109186.0,24.58,87.6,0.47,31.27,68.26,26.8,252.89
Shanghai,2016,121369.0,24.67,87.9,0.38,28.68,70.94,25.86,252.9
Shanghai,2017,133489.0,24.66,87.7,0.34,28.93,70.73,25.06,257.7
Shanghai,2018,145767.0,24.75,88.1,0.29,28.77,70.94,25.1,242.71
Shanghai,2019,153299.0,24.81,88.0,0.28,26.83,72.88,23.52,250.22
Sichuan,1999,4540.0,85.5,26.2,26.2,37.0,36.8,63.63,117.47
Sichuan,2000,4956.0,83.29,26.7,26.7,36.5,36.8,62.17,117.5
Sichuan,2001,5376.0,81.43,27.2,27.2,36.6,36.2,58.15,116.82
Sichuan,2002,5890.0,81.1,28.2,28.2,36.7,35.1,59.62,134.73
Sichuan,2003,6565.0,81.76,30.1,30.1,37.8,32.1,63.06,173.49
Sichuan,2004,7751.0,80.9,31.1,31.1,38.7,30.2,62.03,199.97
Sichuan,2005,8828.0,82.12,33.0,33.0,41.2,25.8,58.48,197.18
Sichuan,2006,10371.0,81.69,34.3,34.3,43.1,22.6,57.43,219.32
Sichuan,2007,12963.0,81.27,35.6,35.6,43.6,20.8,56.76,246.45
Sichuan,2008,15685.0,81.38,37.4,37.4,45.2,17.4,58.74,275.3
Sichuan,2009,17387.0,81.85,38.7,38.7,46.9,14.4,59.57,308.81
Sichuan,2010,21230.0,80.45,40.18,40.18,48.1,11.72,54.54,308.86
Sichuan,2011,26136.0,80.64,41.85,41.85,47.6,10.55,51.83,316.17
Sichuan,2012,29627.0,80.85,43.35,43.35,46.9,9.75,51.32,331.28
Sichuan,2013,32750.0,81.09,44.96,44.96,46.8,8.24,48.75,340.27
Sichuan,2014,35563.0,81.39,46.51,46.51,45.3,8.19,44.76,349.85
Sichuan,2015,37150.0,81.96,48.27,48.27,43.5,8.23,39.85,325.02
Sichuan,2016,40297.0,82.51,50.0,50.0,40.6,9.4,38.73,310.75
Sichuan,2017,45835.0,82.89,51.78,51.78,38.4,9.82,35.06,295.07
Sichuan,2018,51658.0,83.21,53.5,53.5,37.4,9.1,35.05,260.32
Sichuan,2019,55619.0,83.51,53.79,53.79,37.3,8.91,33.61,279.54
Tianjin,1999,14985.0,9.59,71.39,4.95,50.01,45.04,48.84,76.85
Tianjin,2000,16236.0,10.01,72.01,4.63,49.93,45.44,47.59,85.18
Tianjin,2001,17523.0,10.04,72.63,4.48,48.88,46.64,48.54,88.74
Tianjin,2002,19161.0,10.07,73.25,4.37,48.34,47.29,51.45,92.27
Tianjin,2003,22371.0,10.11,73.87,3.98,50.39,45.63,51.06,101.15
Tianjin,2004,25761.0,10.24,74.49,4.02,51.44,44.54,49.42,114.57
Tianjin,2005,30567.0,10.43,75.11,3.56,51.62,44.82,49.7,123.02
Tianjin,2006,33411.0,10.75,75.73,2.92,51.85,45.23,46.47,130.61
Tianjin,2007,37976.0,11.15,76.31,2.59,51.07,46.35,44.66,138.33
Tianjin,2008,45242.0,11.76,77.23,2.25,51.32,46.43,45.19,137.07
Tianjin,2009,47497.0,12.28,78.01,2.09,49.19,48.71,43.66,147.32
Tianjin,2010,54053.0,12.99,79.57,1.93,47.72,50.35,42.05,179.6
Tianjin,2011,61458.0,13.41,80.5,1.74,46.3,51.96,42.12,196.89
Tianjin,2012,66517.0,13.78,81.55,1.64,45.71,52.65,42.1,196.96
Tianjin,2013,71345.0,14.1,82.01,1.56,44.31,54.13,40.56,202.0
Tianjin,2014,74960.0,14.29,82.27,1.49,43.38,55.13,39.86,193.08
Tianjin,2015,75868.0,14.39,82.64,1.49,41.27,57.24,37.1,185.18
Tianjin,2016,79647.0,14.43,82.93,1.47,38.06,60.47,36.37,173.09
Tianjin,2017,87280.0,14.1,82.93,1.36,36.66,61.98,33.83,169.75
Tianjin,2018,95689.0,13.83,83.15,1.31,36.18,62.5,32.6,172.22
Tianjin,2019,101557.0,13.85,83.48,1.32,35.2,63.48,31.8,172.36
Tibet,1999,4180.0,2.56,18.9,36.8,22.5,40.7,0.0,32.76
Tibet,2000,4572.0,2.58,19.3,33.4,22.9,43.7,0.0,37.83
Tibet,2001,5318.0,2.64,19.64,26.2,23.0,50.8,0.0,50.43
Tibet,2002,6094.0,2.68,19.89,23.9,20.2,55.9,0.0,57.7
Tibet,2003,6883.0,2.72,20.21,21.3,25.5,53.2,0.0,66.55
Tibet,2004,7946.0,2.76,20.52,19.3,23.5,57.2,0.0,75.28
Tibet,2005,8733.0,2.8,20.85,18.5,24.9,56.6,0.0,79.98
Tibet,2006,10112.0,2.85,21.13,16.7,26.6,56.7,0.0,89.8
Tibet,2007,11991.0,2.89,21.5,15.2,27.7,57.1,0.0,98.13
Tibet,2008,13703.0,2.92,21.9,14.5,27.8,57.7,0.0,102.31
Tibet,2009,15154.0,2.96,22.3,13.6,29.2,57.2,0.0,110.07
Tibet,2010,17209.0,3.0,22.67,12.6,30.3,57.1,0.0,118.54
Tibet,2011,20083.0,3.09,22.81,11.4,32.0,56.6,0.0,129.16
Tibet,2012,22762.0,3.15,22.87,10.6,31.8,57.6,0.0,134.1
Tibet,2013,26209.0,3.17,23.93,9.8,32.7,57.5,0.0,138.79
Tibet,2014,29275.0,3.25,26.23,9.4,33.0,57.6,0.0,139.87
Tibet,2015,31847.0,3.3,28.87,9.0,32.8,58.2,0.0,144.63
Tibet,2016,35015.0,3.4,31.57,9.4,33.3,57.3,0.0,137.79
Tibet,2017,39158.0,3.49,33.38,8.8,34.8,56.4,0.0,145.92
Tibet,2018,44051.0,3.54,30.9,8.8,42.5,48.7,0.0,146.01
Tibet,2019,47491.0,3.61,32.0,8.2,37.4,54.4,0.0,158.49
Xinjiang,1999,6443.0,17.74,52.34,22.0,35.3,42.7,48.65,90.61
Xinjiang,2000,7372.0,18.49,33.75,20.1,38.5,41.4,47.91,96.21
Xinjiang,2001,7945.0,18.76,33.75,18.4,37.6,44.0,47.73,96.79
Xinjiang,2002,8457.0,19.05,33.84,18.0,37.1,44.9,48.26,101.08
Xinjiang,2003,9842.0,19.34,34.39,20.8,40.9,38.3,48.94,109.36
Xinjiang,2004,11139.0,19.63,35.15,20.2,44.7,35.1,49.49,123.11
Xinjiang,2005,12687.0,20.1,37.15,19.3,47.7,33.0,45.6,141.91
Xinjiang,2006,14567.0,20.5,37.94,17.0,45.4,37.6,45.99,161.56
Xinjiang,2007,16887.0,20.95,39.15,17.0,48.1,34.9,46.68,176.12
Xinjiang,2008,19605.0,21.31,39.64,15.6,43.6,40.8,48.1,196.58
Xinjiang,2009,19755.0,21.59,39.85,16.6,46.3,37.1,53.15,232.36
Xinjiang,2010,24700.0,21.85,43.01,18.7,46.3,35.0,51.51,259.43
Xinjiang,2011,29624.0,22.25,43.73,16.0,47.4,36.6,51.87,306.88
Xinjiang,2012,33103.0,22.53,44.22,16.2,44.9,38.9,53.84,356.3
Xinjiang,2013,36988.0,22.85,44.94,15.8,41.5,42.7,54.49,404.33
Xinjiang,2014,40193.0,23.25,46.79,15.2,41.3,43.5,54.94,443.8
Xinjiang,2015,39520.0,23.85,48.78,15.1,37.0,47.9,56.56,456.1
Xinjiang,2016,40020.0,24.28,50.42,15.3,35.8,48.9,57.78,488.58
Xinjiang,2017,45476.0,24.8,51.9,13.9,36.7,49.4,57.48,524.7
Xinjiang,2018,51238.0,25.2,54.01,13.2,36.4,50.4,58.93,545.59
Xinjiang,2019,53542.0,25.59,51.87,13.1,35.2,51.7,60.06,582.37
Yunnan,1999,4558.0,41.92,47.5,21.4,42.7,35.9,61.78,73.88
Yunnan,2000,4814.0,42.41,23.36,21.8,41.2,37.0,63.92,75.17
Yunnan,2001,5063.0,42.87,24.87,20.6,40.4,39.0,60.65,78.61
Yunnan,2002,5472.0,43.33,26.01,19.6,39.9,40.5,57.35,90.65
Yunnan,2003,6048.0,43.76,26.6,18.8,40.2,41.0,60.91,120.25
Yunnan,2004,7136.0,44.15,28.1,19.4,40.4,40.2,60.95,149.91
Yunnan,2005,7890.0,44.5,29.5,18.5,39.7,41.8,61.09,175.67
Yunnan,2006,9158.0,44.83,30.5,17.2,40.9,41.9,61.59,193.6
Yunnan,2007,11287.0,45.14,31.6,16.7,40.5,42.8,59.02,202.36
Yunnan,2008,13286.0,45.43,33.0,16.7,41.2,42.1,58.73,208.3
Yunnan,2009,14427.0,45.71,34.0,16.0,39.6,44.4,60.8,226.37
Yunnan,2010,16866.0,46.02,34.81,14.1,42.2,43.7,59.8,239.28
Yunnan,2011,20653.0,46.2,36.8,14.7,40.0,45.3,58.05,247.02
Yunnan,2012,23992.0,46.31,39.31,14.8,40.2,45.0,56.32,256.57
Yunnan,2013,27665.0,46.41,40.48,14.6,39.0,46.4,55.18,252.84
Yunnan,2014,30217.0,46.53,41.73,14.3,38.3,47.4,52.33,226.94
Yunnan,2015,32117.0,46.63,43.33,13.9,36.7,49.4,51.35,202.56
Yunnan,2016,35051.0,46.77,45.03,13.6,35.1,51.3,50.33,200.41
Yunnan,2017,39458.0,46.93,46.69,12.6,34.2,53.2,45.94,209.63
Yunnan,2018,44446.0,47.03,47.81,12.0,34.8,53.2,41.97,238.31
Yunnan,2019,49323.0,47.14,48.91,13.1,34.3,52.6,40.66,247.45
Zhengjiang,1999,12229.0,44.75,46.0,11.1,54.63,34.27,51.86,139.94
Zhengjiang,2000,13467.0,46.8,47.83,10.24,53.32,36.44,49.36,165.0
Zhengjiang,2001,14726.0,47.29,49.66,9.52,51.82,38.65,48.07,169.81
Zhengjiang,2002,16918.0,47.76,50.5,8.52,51.15,40.33,47.1,184.7
Zhengjiang,2003,20249.0,48.57,51.06,7.36,52.56,40.08,47.5,219.39
Zhengjiang,2004,23476.0,49.25,51.75,7.0,53.65,39.35,46.84,257.56
Zhengjiang,2005,26277.0,49.91,56.02,6.77,53.37,39.86,46.64,299.91
Zhengjiang,2006,30415.0,50.72,56.5,5.97,54.21,39.82,48.24,336.42
Zhengjiang,2007,36454.0,51.55,57.2,5.2,54.31,40.49,49.38,374.89
Zhengjiang,2008,41061.0,52.12,57.6,5.04,54.09,40.87,47.98,382.52
Zhengjiang,2009,43543.0,52.76,57.9,4.97,52.04,42.99,46.71,397.58
Zhengjiang,2010,51110.0,54.47,61.61,4.83,51.61,43.56,45.13,424.51
Zhengjiang,2011,57828.0,55.7,62.3,4.82,51.08,44.1,44.73,447.51
Zhengjiang,2012,61097.0,56.85,63.2,4.68,49.56,45.75,44.15,433.09
Zhengjiang,2013,65105.0,57.84,64.0,4.6,48.65,46.75,42.51,433.3
Zhengjiang,2014,68569.0,58.9,64.87,4.31,48.92,46.76,41.87,424.21
Zhengjiang,2015,73276.0,59.85,65.8,4.07,47.36,48.57,41.38,428.95
Zhengjiang,2016,78384.0,60.72,67.0,4.0,45.65,50.35,40.87,423.99
Zhengjiang,2017,85612.0,61.7,68.0,3.69,44.36,51.95,39.52,442.54
Zhengjiang,2018,93230.0,62.73,68.9,3.41,43.63,52.96,38.94,428.63
Zhengjiang,2019,98770.0,63.75,70.0,3.34,42.1,54.55,36.57,437.07
Chongqing,1999,5890.0,28.6,34.3,17.0,42.1,40.9,68.53,66.54
Chongqing,2000,6383.0,28.49,35.6,15.4,42.5,42.1,66.67,65.49
Chongqing,2001,7096.0,28.29,37.4,14.4,42.7,42.9,69.23,61.89
Chongqing,2002,8079.0,28.14,39.9,13.7,43.0,43.3,70.02,68.06
Chongqing,2003,9311.0,28.03,41.9,12.7,44.5,42.8,64.53,60.44
Chongqing,2004,10934.0,27.93,43.5,13.7,45.5,40.8,63.23,68.92
Chongqing,2005,12335.0,27.98,45.2,13.2,45.2,41.6,61.01,83.17
Chongqing,2006,13915.0,28.08,46.7,9.7,48.0,42.3,62.27,89.87
Chongqing,2007,16966.0,28.16,48.3,9.8,46.9,43.3,62.18,97.95
Chongqing,2008,20865.0,28.39,50.0,9.4,45.1,45.5,66.28,122.35
Chongqing,2009,23346.0,28.59,51.6,8.7,45.4,45.9,67.04,132.22
Chongqing,2010,28084.0,28.85,53.0,8.1,44.9,47.0,66.52,145.62
Chongqing,2011,34864.0,29.44,55.0,7.8,45.0,47.2,65.41,166.4
Chongqing,2012,39180.0,29.75,57.0,8.2,52.4,39.4,62.53,162.12
Chongqing,2013,43527.0,30.11,58.3,7.9,50.5,41.6,59.23,137.71
Chongqing,2014,48311.0,30.43,59.6,7.4,45.8,46.8,58.51,146.5
Chongqing,2015,52480.0,30.7,60.9,7.3,45.0,47.7,57.77,146.83
Chongqing,2016,58327.0,31.1,62.6,7.3,44.5,48.2,54.0,144.75
Chongqing,2017,64171.0,31.44,64.1,6.9,44.1,49.0,52.55,145.0
Chongqing,2018,68460.0,31.63,66.6,6.4,41.0,52.6,49.01,132.58
Chongqing,2019,74337.0,31.88,68.2,6.6,39.8,53.6,47.3,133.07
