Name;Year;per capita gdp(yuan);total population(million);urbanization rate(%);proportion of primary industry(%);proportion of secondary industry(%);proportion of the tertiary industry(%);coal proportion(%);Total carbon dioxide emissions ( million tons )
;2015;32117,00 ;46,63 ;43,33 ;13,90 ;36,70 ;49,40 ;51,35 ;202,56 
;2016;35051,00 ;46,77 ;45,03 ;13,60 ;35,10 ;51,30 ;50,33 ;200,41 
;2017;39458,00 ;46,93 ;46,69 ;12,60 ;34,20 ;53,20 ;45,94 ;209,63 
;2018;44446,00 ;47,03 ;47,81 ;12,00 ;34,80 ;53,20 ;41,97 ;238,31 
;2019;49323,00 ;47,14 ;48,91 ;13,10 ;34,30 ;52,60 ;40,66 ;247,45 
Zhengjiang;1999;12229,00 ;44,75 ;46,00 ;11,10 ;54,63 ;34,27 ;51,86 ;139,94 
;2000;13467,00 ;46,80 ;47,83 ;10,24 ;53,32 ;36,44 ;49,36 ;165,00 
;2001;14726,00 ;47,29 ;49,66 ;9,52 ;51,82 ;38,65 ;48,07 ;169,81 
;2002;16918,00 ;47,76 ;50,50 ;8,52 ;51,15 ;40,33 ;47,10 ;184,70 
;2003;20249,00 ;48,57 ;51,06 ;7,36 ;52,56 ;40,08 ;47,50 ;219,39 
;2004;23476,00 ;49,25 ;51,75 ;7,00 ;53,65 ;39,35 ;46,84 ;257,56 
;2005;26277,00 ;49,91 ;56,02 ;6,77 ;53,37 ;39,86 ;46,64 ;299,91 
;2006;30415,00 ;50,72 ;56,50 ;5,97 ;54,21 ;39,82 ;48,24 ;336,42 
;2007;36454,00 ;51,55 ;57,20 ;5,20 ;54,31 ;40,49 ;49,38 ;374,89 
;2008;41061,00 ;52,12 ;57,60 ;5,04 ;54,09 ;40,87 ;47,98 ;382,52 
;2009;43543,00 ;52,76 ;57,90 ;4,97 ;52,04 ;42,99 ;46,71 ;397,58 
;2010;51110,00 ;54,47 ;61,61 ;4,83 ;51,61 ;43,56 ;45,13 ;424,51 
;2011;57828,00 ;55,70 ;62,30 ;4,82 ;51,08 ;44,10 ;44,73 ;447,51 
;2012;61097,00 ;56,85 ;63,20 ;4,68 ;49,56 ;45,75 ;44,15 ;433,09 
;2013;65105,00 ;57,84 ;64,00 ;4,60 ;48,65 ;46,75 ;42,51 ;433,30 
;2014;68569,00 ;58,90 ;64,87 ;4,31 ;48,92 ;46,76 ;41,87 ;424,21 
;2015;73276,00 ;59,85 ;65,80 ;4,07 ;47,36 ;48,57 ;41,38 ;428,95 
;2016;78384,00 ;60,72 ;67,00 ;4,00 ;45,65 ;50,35 ;40,87 ;423,99 
;2017;85612,00 ;61,70 ;68,00 ;3,69 ;44,36 ;51,95 ;39,52 ;442,54 
;2018;93230,00 ;62,73 ;68,90 ;3,41 ;43,63 ;52,96 ;38,94 ;428,63 
;2019;98770,00 ;63,75 ;70,00 ;3,34 ;42,10 ;54,55 ;36,57 ;437,07 
Chongqing;1999;5890,00 ;28,60 ;34,30 ;17,00 ;42,10 ;40,90 ;68,53 ;66,54 
;2000;6383,00 ;28,49 ;35,60 ;15,40 ;42,50 ;42,10 ;66,67 ;65,49 
;2001;7096,00 ;28,29 ;37,40 ;14,40 ;42,70 ;42,90 ;69,23 ;61,89 
;2002;8079,00 ;28,14 ;39,90 ;13,70 ;43,00 ;43,30 ;70,02 ;68,06 
;2003;9311,00 ;28,03 ;41,90 ;12,70 ;44,50 ;42,80 ;64,53 ;60,44 
;2004;10934,00 ;27,93 ;43,50 ;13,70 ;45,50 ;40,80 ;63,23 ;68,92 
;2005;12335,00 ;27,98 ;45,20 ;13,20 ;45,20 ;41,60 ;61,01 ;83,17 
;2006;13915,00 ;28,08 ;46,70 ;9,70 ;48,00 ;42,30 ;62,27 ;89,87 
;2007;16966,00 ;28,16 ;48,30 ;9,80 ;46,90 ;43,30 ;62,18 ;97,95 
;2008;20865,00 ;28,39 ;50,00 ;9,40 ;45,10 ;45,50 ;66,28 ;122,35 
;2009;23346,00 ;28,59 ;51,60 ;8,70 ;45,40 ;45,90 ;67,04 ;132,22 
;2010;28084,00 ;28,85 ;53,00 ;8,10 ;44,90 ;47,00 ;66,52 ;145,62 
;2011;34864,00 ;29,44 ;55,00 ;7,80 ;45,00 ;47,20 ;65,41 ;166,40 
;2012;39180,00 ;29,75 ;57,00 ;8,20 ;52,40 ;39,40 ;62,53 ;162,12 
;2013;43527,00 ;30,11 ;58,30 ;7,90 ;50,50 ;41,60 ;59,23 ;137,71 
;2014;48311,00 ;30,43 ;59,60 ;7,40 ;45,80 ;46,80 ;58,51 ;146,50 
;2015;52480,00 ;30,70 ;60,90 ;7,30 ;45,00 ;47,70 ;57,77 ;146,83 
;2016;58327,00 ;31,10 ;62,60 ;7,30 ;44,50 ;48,20 ;54,00 ;144,75 
;2017;64171,00 ;31,44 ;64,10 ;6,90 ;44,10 ;49,00 ;52,55 ;145,00 
;2018;68460,00 ;31,63 ;66,60 ;6,40 ;41,00 ;52,60 ;49,01 ;132,58 
;2019;74337,00 ;31,88 ;68,20 ;6,60 ;39,80 ;53,60 ;47,30 ;133,07 
